config	chain	metric	metric_label	raw_value	raw_count	denominator	frames	lefs_per_frame	chain_length	num_chains	gene_body_sites_per_chain	ctcf_boundary_sites_per_chain	internal_boundaries_per_chain	baseline_config1_mean	fold_vs_config1_mean
config1	0	boundary_pass_event	Boundary pass events	0.0018750937546877344	225	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.9232663110381616
config1	0	cross_tad_occupancy	Cross-boundary occupancy	0.48941666666666667	58730	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.0335130645342945
config1	0	crossed_boundaries	Boundary-counted crossing	0.49020833333333336	58825	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.0164814277222523
config1	0	multi_tad_crossing	Multi-TAD crossing	0.0007916666666666666	95	120000	20000	208	5000	10	3113	12	6	0.0083	0.09538152610441766
config1	0	one_ctcf_leg_stripe	One CTCF-leg stripe	0.6037333333333333	72448	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.0665457537941074
config1	0	boundary_crossing_stripe	Boundary-crossing stripe	0.09535	11442	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.5686650854800457
config1	1	boundary_pass_event	Boundary pass events	0.0016000800040002	192	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.7878539187525646
config1	1	cross_tad_occupancy	Cross-boundary occupancy	0.4094333333333333	49132	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.8646103164770808
config1	1	crossed_boundaries	Boundary-counted crossing	0.413525	49623	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.8574731472649608
config1	1	multi_tad_crossing	Multi-TAD crossing	0.004091666666666667	491	120000	20000	208	5000	10	3113	12	6	0.0083	0.4929718875502008
config1	1	one_ctcf_leg_stripe	One CTCF-leg stripe	0.7401916666666667	88823	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.30761088628056
