config	metric	mean_raw	sd_raw	mean_fold	sd_fold	n_chains	metric_label	p_value	significance	test
config1	boundary_crossing_stripe	0.06078416666666666	0.02223955346732317	1.0000000000000002	0.36587740997227636	10	Boundary-crossing stripe	0.004957890406806815	**	two-sided exact two-sample permutation test on raw per-chain values
config1	boundary_pass_event	0.0020309348800773373	0.00022714629028999875	1.0	0.11184321689396026	10	Boundary pass events	1.0	ns	two-sided exact two-sample permutation test on raw per-chain values
config1	cohesin_ctcf_boundary	0.31605791666666666	0.048761054240928046	1.0	0.15427885735371202	10	Cohesin at CTCF boundaries	0.00038970317608088504	***	two-sided exact two-sample permutation test on raw per-chain values
config1	cohesin_gene_body	0.007350677802762609	0.0002901411767252707	1.0	0.03947135005920503	10	Cohesin at gene bodies	0.00035722791140747797	***	two-sided exact two-sample permutation test on raw per-chain values
config1	mean_loop_length	240.23256173692707	9.247651234759013	1.0	0.038494578619554055	10	Mean loop length	1.082508822446903e-05	***	two-sided exact two-sample permutation test on raw per-chain values
config2	boundary_crossing_stripe	0.09541	0.025013334036661918	1.5696521846423823	0.41151068458061046	10	Boundary-crossing stripe	0.004957890406806815	**	two-sided exact two-sample permutation test on raw per-chain values
config2	boundary_pass_event	0.0020309348800773373	0.0002495815521259755	1.0	0.12288998262537669	10	Boundary pass events	1.0	ns	two-sided exact two-sample permutation test on raw per-chain values
config2	cohesin_ctcf_boundary	0.40769666666666665	0.04501296310200231	1.2899429033971885	0.14241998294722563	10	Cohesin at CTCF boundaries	0.00038970317608088504	***	two-sided exact two-sample permutation test on raw per-chain values
config2	cohesin_gene_body	0.006739630581432701	0.0003244516703979196	0.9168719895326853	0.04413901399350964	10	Cohesin at gene bodies	0.00035722791140747797	***	two-sided exact two-sample permutation test on raw per-chain values
config2	mean_loop_length	272.7718521880161	9.036739028495676	1.1354491256964658	0.037616628500143086	10	Mean loop length	1.082508822446903e-05	***	two-sided exact two-sample permutation test on raw per-chain values
